velocity_threshold,angle_threshold,ratio_threshold,min_event_frames,accuracy,sensitivity_fall_recall,specificity_not_fall_recall,macro_precision,macro_recall,macro_f1,fall_precision,fall_recall,fall_f1,not_fall_precision,not_fall_recall,not_fall_f1,tn,fp,fn,tp
114.028,45.0,1.0,1,0.6167883211678832,0.3207126948775056,0.9731903485254692,0.7392390543588148,0.6469515217014874,0.5875091401780722,0.935064935064935,0.3207126948775056,0.47761194029850745,0.5434131736526946,0.9731903485254692,0.6974063400576369,363,10,305,144
122.9971,45.0,1.0,1,0.6009732360097324,0.289532293986637,0.9758713136729222,0.7340973487681304,0.6327018038297796,0.5657854050711194,0.935251798561151,0.289532293986637,0.4421768707482993,0.5329428989751098,0.9758713136729222,0.6893939393939394,364,9,319,130
123.5303,45.0,1.0,1,0.5997566909975669,0.2873051224944321,0.9758713136729222,0.7334731756928554,0.6315882180836772,0.5641323600753636,0.9347826086956522,0.2873051224944321,0.4395229982964225,0.5321637426900585,0.9758713136729222,0.6887417218543046,364,9,320,129
133.0327,45.0,1.0,1,0.5827250608272506,0.2561247216035635,0.9758713136729222,0.7244546630927072,0.6159980176382429,0.5405673613249837,0.9274193548387096,0.2561247216035635,0.4013961605584642,0.5214899713467048,0.9758713136729222,0.6797385620915033,364,9,334,115
142.535,45.0,1.0,1,0.5766423357664233,0.24498886414253898,0.9758713136729222,0.721075343366365,0.6104300889077307,0.5319519346562647,0.9243697478991597,0.24498886414253898,0.3873239436619718,0.5177809388335705,0.9758713136729222,0.6765799256505576,364,9,339,110
147.9921,45.0,1.0,1,0.5693430656934306,0.23162583518930957,0.9758713136729222,0.7168765680192718,0.603748574431116,0.5214674288420679,0.9203539823008849,0.23162583518930957,0.3701067615658363,0.5133991537376587,0.9758713136729222,0.6728280961182994,364,9,345,104
152.0373,45.0,1.0,1,0.5620437956204379,0.2182628062360802,0.9758713136729222,0.7124893797790994,0.5970670599545012,0.5108178163351671,0.9158878504672897,0.2182628062360802,0.35251798561151076,0.509090909090909,0.9758713136729222,0.6691176470588235,364,9,351,98
161.5397,45.0,1.0,1,0.5547445255474452,0.20489977728285078,0.9758713136729222,0.7078727290204749,0.5903855454778865,0.49999667608442744,0.9108910891089109,0.20489977728285078,0.33454545454545453,0.5048543689320388,0.9758713136729222,0.6654478976234004,364,9,357,92
171.042,45.0,1.0,1,0.5474452554744526,0.1915367483296214,0.9758713136729222,0.7029754579019765,0.5837040310012718,0.48899732620320857,0.9052631578947369,0.1915367483296214,0.3161764705882353,0.5006877579092159,0.9758713136729222,0.6618181818181819,364,9,363,86
180.5443,45.0,1.0,1,0.537712895377129,0.17371937639198218,0.9758713136729222,0.6958949096880132,0.5747953450324522,0.4740422436553694,0.896551724137931,0.17371937639198218,0.291044776119403,0.49523809523809526,0.9758713136729222,0.6570397111913358,364,9,371,78
180.8475,45.0,1.0,1,0.537712895377129,0.17371937639198218,0.9758713136729222,0.6958949096880132,0.5747953450324522,0.4740422436553694,0.896551724137931,0.17371937639198218,0.291044776119403,0.49523809523809526,0.9758713136729222,0.6570397111913358,364,9,371,78
190.0467,45.0,1.0,1,0.5328467153284672,0.16481069042316257,0.9758713136729222,0.6920618876045453,0.5703410020480424,0.4664358738573051,0.891566265060241,0.16481069042316257,0.2781954887218045,0.4925575101488498,0.9758713136729222,0.6546762589928058,364,9,375,74
199.549,45.0,1.0,1,0.5316301703163017,0.1603563474387528,0.9785522788203753,0.6959568733153639,0.5694543131295641,0.4634601202031077,0.9,0.1603563474387528,0.2722117202268431,0.4919137466307278,0.9785522788203753,0.6547085201793722,365,8,377,72
